"","id","n"
"1","Pushkin_1820",97207
"2","Zhukovskij_1810",84863
"3","Zhukovskij_1830",52840
"4","Pushkin_1830",51523
"5","Bunina_1800",50569
"6","Bunina_1810",50569
"7","Zhukovskij_1840",33742
"8","Pushkin_1810",33025
"9","Dmitriev_1790",30817
"10","Polezhaev_1830",30771
"11","Karamzin_1790",25853
"12","Fet_1840",23893
"13","Kulmann_1830",23604
"14","Baratynskij_1820",23039
"15","Batushkov_1810",22191
"16","Kozlov_1820",20731
"17","Zhukovskij_1800",20003
"18","Smirnova_1830",18904
"19","Krylov_1810",18751
"20","Zhukovskij_1820",16622
"21","Delvig_1820",15564
"22","Vyazemskij_1810",14307
"23","Vyazemskij_1820",13361
"24","Polezhaev_1820",13288
"25","Dmitriev_1800",12775
"26","Ershov_1830",12294
"27","Merzlyakov_1800",11595
"28","Kolcov_1830",11125
"29","Nekrasov_1830",10284
"30","Delvig_1810",10167
"31","Batushkov_1800",10102
"32","Shakhova_1830",9387
"33","Rostopchina_1830",8998
"34","Merzlyakov_1810",8944
"35","Pospelova_1790",8856
"36","Baratynskij_1840",8637
"37","Venevitinov_1820",8564
