"","word","n"
"1","и",38485
"2","в",26855
"3","я",18296
"4","не",15608
"5","он",13427
"6","с",13047
"7","ты",11562
"8","на",11339
"9","быть",7985
"10","как",7591
"11","что",7297
"12","она",6675
"13","мой",6525
"14","но",6350
"15","к",5474
"16","они",5371
"17","мы",5296
"18","все",4607
"19","то",4562
"20","свой",4535
"21","твой",3981
"22","о",3819
"23","за",3776
"24","весь",3559
"25","вы",3554
"26","а",3446
"27","от",3246
"28","друг",3091
"29","душа",2923
"30","по",2888
"31","сердце",2848
"32","так",2808
"33","где",2698
"34","тот",2675
"35","кто",2666
"36","один",2611
"37","день",2506
"38","нет",2505
"39","из",2484
"40","там",2306
"41","когда",2286
"42","для",2242
"43","себя",2234
"44","любовь",2190
"45","рука",2126
"46","ни",2077
"47","у",1947
"48","же",1942
"49","под",1936
"50","жизнь",1931
"51","ли",1918
"52","сей",1917
"53","сказать",1898
"54","его",1887
"55","мочь",1847
"56","небо",1845
"57","милый",1764
"58","без",1732
"59","наш",1729
"60","во",1685
"61","давать",1668
"62","уж",1661
"63","бог",1631
"64","свет",1607
"65","знать",1605
"66","ж",1592
"67","вот",1571
"68","их",1565
"69","ль",1509
"70","лишь",1482
"71","любить",1481
"72","видеть",1474
"73","сам",1471
"74","здесь",1456
"75","да",1421
"76","иль",1419
"77","взор",1414
"78","над",1392
"79","мир",1327
"80","чтоб",1303
"81","вдруг",1281
"82","царь",1279
"83","земля",1255
"84","становиться",1220
"85","бы",1211
"86","жить",1196
"87","сон",1194
"88","слава",1173
"89","другой",1153
"90","ночь",1152
"91","который",1142
"92","час",1141
"93","пред",1121
"94","еще",1114
"95","счастие",1100
"96","со",1086
"97","какой",1073
"98","ее",1071
"99","слово",1070
"100","слеза",1054
"101","око",1019
"102","говорить",1018
"103","этот",1012
"104","год",1009
"105","идти",1004
"106","вода",969
"107","до",962
"108","человек",944
"109","хотеть",938
"110","б",931
"111","радость",913
"112","сила",906
"113","судьба",902
"114","петь",901
"115","теперь",899
"116","мечта",886
"117","грудь",881
"118","глаз",879
"119","ах",868
"120","поле",848
"121","конь",842
"122","тень",834
"123","только",832
"124","ум",831
"125","тогда",824
"126","лес",821
"127","сын",821
"128","забывать",814
"129","пора",814
"130","путь",811
"131","нежный",800
"132","отец",800
"133","прекрасный",792
"134","волна",786
"135","смерть",769
"136","новый",755
"137","огонь",755
"138","при",753
"139","находить",744
"140","ваш",734
"141","стоять",732
"142","гора",729
"143","стих",726
"144","время",725
"145","два",721
"146","бежать",712
"147","море",707
"148","дух",706
"149","святой",705
"150","тихий",700
"151","уже",696
"152","счастливый",695
"153","надежда",693
"154","такой",692
"155","природа",691
"156","ждать",678
"157","красота",673
"158","светлый",670
"159","век",668
"160","враг",666
"161","это",666
"162","полный",656
"163","краса",647
"164","сидеть",641
"165","луч",638
"166","цветок",638
"167","чувство",638
"168","перед",636
"169","скоро",636
"170","певец",634
"171","тоска",632
"172","лететь",631
"173","поэт",630
"174","лицо",618
"175","немой",618
"176","дева",615
"177","глас",614
"178","народ",613
"179","раз",613
"180","хоть",609
"181","дар",603
"182","ко",600
"183","дело",595
"184","живой",595
"185","всегда",591
"186","давно",591
"187","смотреть",591
"188","внимать",589
"189","роза",582
"190","солнце",581
"191","уста",577
